"","Parameter","Estimate","se","p","CI"
"1","intrcpt",0.242504567028083,0.20187287224893,0.229645058753243,"[-0.15, 0.64]"
"2","Tau2",1.3243728484486,0.363697452787166,1.44817079330544e-25,"[0.83, 2.59]"
