"","AIC","BIC","ll","LRT","p"
"Three-level model",18.7259555323534,18.1012339400375,-6.36297776617668,NA,NA
"Within-studies variance constrained",16.7259555311314,16.3094744695875,-6.3629777655657,0,1
"Between-studies variance constrained",17.7615890845612,17.3451080230173,-6.8807945422806,1.03563355220784,0.308839171119055
"Both variance components constrained",19.9146187677377,19.7063782369658,-8.95730938386885,5.18866323538434,0.074695784734531
