"","AIC","BIC","ll","LRT","p"
"Three-level model",27.6421761880914,27.8805008131309,-10.8210880940457,NA,NA
"Within-studies variance constrained",31.1338495677266,31.2927326510862,-13.5669247838633,5.49167337963521,0.0191072466549053
"Between-studies variance constrained",25.6421761860909,25.8010592694505,-10.8210880930454,0,1
"Both variance components constrained",30.0344510291824,30.1138925708622,-14.0172255145912,6.39227484109106,0.0409199556981162
