"","Parameter","Estimate","se","p","CI"
"1","intrcpt",-0.433339697843942,0.463650011849106,0.349980694892636,"[-1.34, 0.48]"
"2","Tau2",1.4774060238268,0.917832449200498,2.05441223174206e-08,"[0.50, 7.54]"
