"","Parameter","Estimate","se","p","CI"
"1","intrcpt",0.837944977990255,0.140822729902362,2.67564501102681e-09,"[0.56, 1.11]"
"2","Tau2",1.98954382259929,0.303607050225817,5.25784672185727e-87,"[1.65, 3.16]"
