"","Parameter","Estimate","se","p","CI"
"1","intrcpt",-0.0671235820707666,0.266981132325864,0.801491764070732,"[-0.59, 0.46]"
"2","Tau2",0.307755962774273,0.285377735783777,0.00970842469179999,"[0.03, 2.96]"
