"","Parameter","Estimate","se","p","CI"
"1","intrcpt",-0.987404921536115,0.378395586427023,0.00906875066708456,"[-1.73, -0.25]"
"2","Tau2",2.15379698961531,0.859095464545224,8.86039667885209e-20,"[1.09, 5.74]"
