"","Parameter","Estimate","se","p","CI"
"1","intrcpt",-0.133182896569567,0.151815835433567,0.380342082439713,"[-0.43, 0.16]"
"2","Tau2",0.706846562298787,0.209938194813674,2.18862604437991e-14,"[0.44, 1.53]"
