"","AIC","BIC","ll","LRT","p"
"Three-level model",132.89662726599,137.80938574517,-63.4483136329952,NA,NA
"Within-studies variance constrained",154.80194150189,158.077113821343,-75.4009707509452,23.9053142359,1.01192036057678e-06
"Between-studies variance constrained",131.688898656064,134.964070975516,-63.8444493280319,0.792271390073296,0.373414189555966
"Both variance components constrained",228.545008910646,230.182595070373,-113.272504455323,99.6483816446558,2.29947589111817e-22
