"","Parameter","Estimate","se","p","CI"
"1","intrcpt",-0.808774135203446,0.305248178216599,0.00805960563904137,"[-1.41, -0.21]"
"2","Tau2",0.545200875929137,0.417055507334759,0.0030604434983575,"[0.09, 2.99]"
