"","AIC","BIC","ll","LRT","p"
"Three-level model",118.905564239915,123.972202602257,-56.4527821199577,NA,NA
"Within-studies variance constrained",124.346202239074,127.723961147302,-60.1731011195369,7.4406379991583,0.00637672808106325
"Between-studies variance constrained",119.343239142884,122.720998051112,-57.6716195714422,2.43767490296898,0.118451683599681
"Both variance components constrained",164.410375446386,166.099254900499,-81.2051877231928,49.5048112064701,1.77896266098891e-11
