"","AIC","BIC","ll","LRT","p"
"Three-level model",149.237538227137,154.150296706316,-71.6187691135684,NA,NA
"Within-studies variance constrained",203.30373413563,206.578906455083,-99.6518670678152,56.0661959084936,7.00715966166429e-14
"Between-studies variance constrained",147.237538215112,150.512710534565,-71.618769107556,0,1
"Both variance components constrained",211.323901602228,212.961487761955,-104.661950801114,66.0863633750914,4.4619893418771e-15
