"","Parameter","Estimate","se","p","CI"
"1","intrcpt",-0.0681424982548829,0.193932059299015,0.725308501550394,"[-0.45, 0.31]"
"2","Tau2",1.17423191784935,0.330905152307281,1.02978894127762e-18,"[0.89, 3.25]"
