"","AIC","BIC","ll","LRT","p"
"Three-level model",65.7702709594499,68.0880371261693,-29.885135479725,NA,NA
"Within-studies variance constrained",102.725514120801,104.27069156528,-49.3627570604004,38.955243161351,4.33634067938917e-10
"Between-studies variance constrained",64.3341059007873,65.8792833452669,-30.1670529503937,0.563834941337397,0.452719200016457
"Both variance components constrained",138.601386312737,139.373975034977,-68.3006931563684,76.8311153532869,2.07174014576179e-17
