"","Parameter","Estimate","se","n_eff","Rhat","CI","p"
"1","Intercept",-1.02271882011906,0.0252663478770134,1064.39703808338,1.00361891472665,"[-2.75, 0.54]",""
"2","freqacute",0.331785722819653,0.0160929325548716,1617.90771360594,1.00035191007014,"[-0.81, 1.83]",""
"3","diseasenone",0.598767807242322,0.0264486173153402,882.163802766887,1.00327459094203,"[-0.63, 2.43]",""
"4","speciesmouse",-0.0769588089015954,0.0101145105862945,2128.44819007524,1.00054667456363,"[-1.13, 0.84]",""
"5","testPA",0.461508204170283,0.0190353856354221,1482.60242578819,1.00128635604806,"[-0.73, 2.12]",""
"6","tau2",1.46188258234321,0.0410922331581346,1192.2606501402,1.00290201607996,"[0.11, 4.98]","*"
