"","Parameter","Estimate","se","p","CI","VIF"
"1","intrcpt",0.74892035978463,0.366769072299187,0.0411575049205007,"[0.03, 1.47]",NA
"2","diseaseind.STRESS",1.69106432490999,1.09725570816852,0.123273921100261,"[-0.46, 3.84]",1.28132609487564
"3","speciesrat",-0.352394748025199,0.704960496490593,0.61716047961488,"[-1.73, 1.03]",1.28132609487564
"4","Tau2",0.498241680344591,0.455129144792298,0.0119989081178248,"[-0.39, 1.39]",NA
