"","Parameter","Estimate","se","p","CI","VIF"
"1","intrcpt",-2.87145095225851,1.17343205633363,0.0144029481215305,"[-5.17, -0.57]",NA
"2","freqacute",1.1009039242647,1.40233447766963,0.432423734095285,"[-1.65, 3.85]",1.70684797808674
"3","diseasenone",2.35965970498633,1.53690139467604,0.124701369037032,"[-0.65, 5.37]",1.5342604825669
"4","speciesmouse",-0.0378611273555887,1.13513299800965,0.973392361225121,"[-2.26, 2.19]",2.21124155004472
"5","testPA",1.69731797165514,1.4848335067089,0.252995735030284,"[-1.21, 4.61]",1.59217707409284
"6","Tau2",0.925686386075078,0.990912337596159,0.00556509196033639,"[-1.02, 2.87]",NA
