"","AIC","BIC","ll","LRT","p"
"Three-level model",32.335444587652,32.5737692126915,-13.167722293826,NA,NA
"Within-studies variance constrained",47.0986075670369,47.2574906503965,-21.5493037835184,16.7631629793849,4.23474650691999e-05
"Between-studies variance constrained",30.335444585547,30.4943276689066,-13.1677222927735,0,1
"Both variance components constrained",54.304047514242,54.3834890559218,-26.152023757121,25.96860292659,2.29609325671646e-06
