"","AIC","BIC","ll","LRT","p"
"Three-level model",422.551941148883,430.812711722202,-208.275970574442,NA,NA
"Within-studies variance constrained",477.057171408788,482.564351791,-236.528585704394,56.5052302599045,5.60490916268107e-14
"Between-studies variance constrained",443.538013641346,449.045194023559,-219.769006820673,22.986072492463,1.63179307633896e-06
"Both variance components constrained",788.806489136104,791.56007932721,-393.403244568052,370.254547987221,3.98333153763911e-81
