"","Parameter","Estimate","se","p","CI","VIF"
"1","intrcpt",-0.208283350001294,0.43471918045305,0.63185212302726,"[-1.06, 0.64]",NA
"2","ssriESC;specieshuman",0.990924935966837,0.924915018821939,0.284003712504731,"[-0.82, 2.80]",1.07709390444446
"3","ssriPAR;freqsub",0.65207841604785,0.999003240175412,0.513930983767973,"[-1.31, 2.61]",1.07013068938976
"4","freqacute",0.0956095799982322,0.978823701848973,0.922187954268001,"[-1.82, 2.01]",1.07208041518666
"5","Tau2",0.552871893631973,0.617083536407021,0.0173889279018911,"[-0.66, 1.76]",NA
