     0.775     0.970     0.030     1.000
     1.027     0.920     0.080     1.000
     0.724     0.976     0.024     1.000
     1.548     0.574     0.426     1.000
     0.364     0.994     0.006     1.000
     0.195     0.997     0.003     1.000
     0.529     0.989     0.011     1.000
     1.468     0.652     0.348     1.000
     0.208     0.997     0.003     1.000
    -0.043     0.999     0.001     1.000
     2.611     0.017     0.983     2.000
    -0.215     0.999     0.001     1.000
    -0.041     0.999     0.001     1.000
     2.156     0.100     0.900     2.000
     1.101     0.894     0.106     1.000
     0.394     0.994     0.006     1.000
     0.224     0.997     0.003     1.000
     0.033     0.999     0.001     1.000
     0.379     0.994     0.006     1.000
    -0.059     0.999     0.001     1.000
    -0.118     0.999     0.001     1.000
     3.222     0.001     0.999     2.000
     1.744     0.376     0.624     2.000
     0.748     0.973     0.027     1.000
     0.454     0.992     0.008     1.000
    -0.081     0.999     0.001     1.000
     2.202     0.084     0.916     2.000
     0.063     0.998     0.002     1.000
     0.105     0.998     0.002     1.000
     0.334     0.995     0.005     1.000
     1.783     0.339     0.661     2.000
     1.440     0.678     0.322     1.000
    -0.353     1.000     0.000     1.000
    -0.162     0.999     0.001     1.000
     1.225     0.836     0.164     1.000
     0.807     0.966     0.034     1.000
     0.397     0.993     0.007     1.000
     1.021     0.922     0.078     1.000
     0.608     0.985     0.015     1.000
    -0.422     1.000     0.000     1.000
     0.147     0.998     0.002     1.000
     1.349     0.754     0.246     1.000
     0.159     0.998     0.002     1.000
    -0.093     0.999     0.001     1.000
     0.702     0.978     0.022     1.000
     1.119     0.887     0.113     1.000
     1.153     0.872     0.128     1.000
    -0.248     1.000     0.000     1.000
     0.870     0.956     0.044     1.000
     0.843     0.961     0.039     1.000
    -1.129     1.000     0.000     1.000
     0.148     0.998     0.002     1.000
    -0.135     0.999     0.001     1.000
     0.515     0.989     0.011     1.000
     0.492     0.990     0.010     1.000
     0.941     0.942     0.058     1.000
     0.860     0.958     0.042     1.000
    -0.908     1.000     0.000     1.000
     0.139     0.998     0.002     1.000
    -0.508     1.000     0.000     1.000
     1.230     0.833     0.167     1.000
     0.619     0.984     0.016     1.000
    -0.024     0.999     0.001     1.000
     1.462     0.658     0.342     1.000
     1.401     0.712     0.288     1.000
     0.978     0.934     0.066     1.000
     0.224     0.997     0.003     1.000
     0.441     0.992     0.008     1.000
     1.088     0.899     0.101     1.000
    -0.654     1.000     0.000     1.000
     1.021     0.922     0.078     1.000
     0.665     0.981     0.019     1.000
     0.162     0.998     0.002     1.000
     0.198     0.997     0.003     1.000
     0.209     0.997     0.003     1.000
     0.831     0.963     0.037     1.000
    -0.409     1.000     0.000     1.000
     0.859     0.958     0.042     1.000
     0.986     0.932     0.068     1.000
     1.119     0.887     0.113     1.000
    -0.044     0.999     0.001     1.000
     0.510     0.990     0.010     1.000
     1.029     0.919     0.081     1.000
     1.262     0.814     0.186     1.000
     0.072     0.998     0.002     1.000
     0.935     0.944     0.056     1.000
     2.023     0.160     0.840     2.000
     1.514     0.608     0.392     1.000
     0.820     0.964     0.036     1.000
     0.525     0.989     0.011     1.000
     0.807     0.966     0.034     1.000
     1.980     0.186     0.814     2.000
     1.923     0.224     0.776     2.000
     1.911     0.233     0.767     2.000
     2.326     0.052     0.948     2.000
     0.989     0.931     0.069     1.000
    -0.328     1.000     0.000     1.000
    -0.091     0.999     0.001     1.000
     1.326     0.770     0.230     1.000
     0.168     0.997     0.003     1.000
     3.055     0.003     0.997     2.000
     2.532     0.023     0.977     2.000
     2.764     0.009     0.991     2.000
     2.376     0.043     0.957     2.000
     2.219     0.079     0.921     2.000
     2.563     0.020     0.980     2.000
     1.946     0.208     0.792     2.000
     3.255     0.001     0.999     2.000
     2.811     0.007     0.993     2.000
     2.604     0.017     0.983     2.000
     3.021     0.003     0.997     2.000
     2.798     0.008     0.992     2.000
     4.375     0.000     1.000     2.000
     2.332     0.051     0.949     2.000
     1.979     0.186     0.814     2.000
     3.602     0.000     1.000     2.000
     2.124     0.112     0.888     2.000
     2.372     0.044     0.956     2.000
     2.959     0.004     0.996     2.000
     4.083     0.000     1.000     2.000
     2.389     0.041     0.959     2.000
     2.447     0.032     0.968     2.000
     3.330     0.001     0.999     2.000
     3.230     0.001     0.999     2.000
     3.167     0.002     0.998     2.000
     2.533     0.023     0.977     2.000
     2.209     0.082     0.918     2.000
     3.043     0.003     0.997     2.000
     2.510     0.025     0.975     2.000
     3.397     0.001     0.999     2.000
     2.532     0.023     0.977     2.000
     3.288     0.001     0.999     2.000
     2.005     0.171     0.829     2.000
     2.593     0.018     0.982     2.000
     3.373     0.001     0.999     2.000
     4.011     0.000     1.000     2.000
     2.467     0.030     0.970     2.000
     4.600     0.000     1.000     2.000
     4.273     0.000     1.000     2.000
     2.020     0.163     0.837     2.000
     4.308     0.000     1.000     2.000
     2.920     0.005     0.995     2.000
     1.878     0.258     0.742     2.000
     2.313     0.055     0.945     2.000
     1.910     0.233     0.767     2.000
     3.187     0.002     0.998     2.000
     2.544     0.022     0.978     2.000
     3.220     0.001     0.999     2.000
     2.161     0.098     0.902     2.000
     2.898     0.005     0.995     2.000
     3.955     0.000     1.000     2.000
     3.726     0.000     1.000     2.000
     2.141     0.106     0.894     2.000
     4.094     0.000     1.000     2.000
     2.585     0.019     0.981     2.000
     3.780     0.000     1.000     2.000
     1.760     0.361     0.639     2.000
     2.512     0.025     0.975     2.000
     4.270     0.000     1.000     2.000
     3.242     0.001     0.999     2.000
     4.789     0.000     1.000     2.000
     1.930     0.219     0.781     2.000
     1.693     0.426     0.574     2.000
     3.283     0.001     0.999     2.000
     2.633     0.015     0.985     2.000
     2.894     0.005     0.995     2.000
     3.677     0.000     1.000     2.000
     3.268     0.001     0.999     2.000
     2.960     0.004     0.996     2.000
     3.038     0.003     0.997     2.000
     4.000     0.000     1.000     2.000
     2.002     0.173     0.827     2.000
     2.002     0.173     0.827     2.000
     2.010     0.168     0.832     2.000
     2.283     0.062     0.938     2.000
     2.061     0.141     0.859     2.000
     3.494     0.000     1.000     2.000
     2.481     0.028     0.972     2.000
     2.478     0.029     0.971     2.000
     4.280     0.000     1.000     2.000
     2.567     0.020     0.980     2.000
     2.640     0.015     0.985     2.000
     2.664     0.014     0.986     2.000
     1.734     0.386     0.614     2.000
     2.754     0.009     0.991     2.000
     3.369     0.001     0.999     2.000
     3.281     0.001     0.999     2.000
     2.263     0.067     0.933     2.000
     3.257     0.001     0.999     2.000
     2.378     0.043     0.957     2.000
     2.475     0.029     0.971     2.000
     2.895     0.005     0.995     2.000
     2.625     0.016     0.984     2.000
     2.781     0.008     0.992     2.000
     2.734     0.010     0.990     2.000
     2.199     0.085     0.915     2.000
     3.135     0.002     0.998     2.000
     1.051     0.912     0.088     1.000
     2.657     0.014     0.986     2.000
     2.808     0.008     0.992     2.000
