     0.775     0.015     0.000     0.985     3.000
     1.027     0.067     0.000     0.933     3.000
     0.724     0.011     0.000     0.989     3.000
     1.548     0.626     0.000     0.374     1.000
     0.364     0.001     0.000     0.999     3.000
     0.195     0.000     0.000     1.000     3.000
     0.529     0.004     0.000     0.996     3.000
     1.468     0.508     0.000     0.492     1.000
     0.208     0.001     0.000     0.999     3.000
    -0.043     0.000     0.000     1.000     3.000
     2.611     0.978     0.021     0.001     1.000
    -0.215     0.000     0.000     1.000     3.000
    -0.041     0.000     0.000     1.000     3.000
     2.156     0.982     0.003     0.015     1.000
     1.101     0.101     0.000     0.899     3.000
     0.394     0.002     0.000     0.998     3.000
     0.224     0.001     0.000     0.999     3.000
     0.033     0.000     0.000     1.000     3.000
     0.379     0.001     0.000     0.999     3.000
    -0.059     0.000     0.000     1.000     3.000
    -0.118     0.000     0.000     1.000     3.000
     3.222     0.802     0.198     0.000     1.000
     1.744     0.845     0.001     0.155     1.000
     0.748     0.013     0.000     0.987     3.000
     0.454     0.002     0.000     0.998     3.000
    -0.081     0.000     0.000     1.000     3.000
     2.202     0.985     0.004     0.011     1.000
     0.063     0.000     0.000     1.000     3.000
     0.105     0.000     0.000     1.000     3.000
     0.334     0.001     0.000     0.999     3.000
     1.783     0.873     0.001     0.126     1.000
     1.440     0.466     0.000     0.534     3.000
    -0.353     0.000     0.000     1.000     3.000
    -0.162     0.000     0.000     1.000     3.000
     1.225     0.192     0.000     0.808     3.000
     0.807     0.019     0.000     0.981     3.000
     0.397     0.002     0.000     0.998     3.000
     1.021     0.065     0.000     0.935     3.000
     0.608     0.006     0.000     0.994     3.000
    -0.422     0.000     0.000     1.000     3.000
     0.147     0.000     0.000     1.000     3.000
     1.349     0.334     0.000     0.666     3.000
     0.159     0.000     0.000     1.000     3.000
    -0.093     0.000     0.000     1.000     3.000
     0.702     0.010     0.000     0.990     3.000
     1.119     0.112     0.000     0.888     3.000
     1.153     0.133     0.000     0.867     3.000
    -0.248     0.000     0.000     1.000     3.000
     0.870     0.027     0.000     0.973     3.000
     0.843     0.023     0.000     0.977     3.000
    -1.129     0.000     0.000     1.000     3.000
     0.148     0.000     0.000     1.000     3.000
    -0.135     0.000     0.000     1.000     3.000
     0.515     0.003     0.000     0.997     3.000
     0.492     0.003     0.000     0.997     3.000
     0.941     0.041     0.000     0.959     3.000
     0.860     0.026     0.000     0.974     3.000
    -0.908     0.000     0.000     1.000     3.000
     0.139     0.000     0.000     1.000     3.000
    -0.508     0.000     0.000     1.000     3.000
     1.230     0.197     0.000     0.803     3.000
     0.619     0.006     0.000     0.994     3.000
    -0.024     0.000     0.000     1.000     3.000
     1.462     0.499     0.000     0.501     3.000
     1.401     0.407     0.000     0.593     3.000
     0.978     0.051     0.000     0.949     3.000
     0.224     0.001     0.000     0.999     3.000
     0.441     0.002     0.000     0.998     3.000
     1.088     0.094     0.000     0.906     3.000
    -0.654     0.000     0.000     1.000     3.000
     1.021     0.065     0.000     0.935     3.000
     0.665     0.008     0.000     0.992     3.000
     0.162     0.000     0.000     1.000     3.000
     0.198     0.000     0.000     1.000     3.000
     0.209     0.001     0.000     0.999     3.000
     0.831     0.022     0.000     0.978     3.000
    -0.409     0.000     0.000     1.000     3.000
     0.859     0.025     0.000     0.975     3.000
     0.986     0.053     0.000     0.947     3.000
     1.119     0.111     0.000     0.889     3.000
    -0.044     0.000     0.000     1.000     3.000
     0.510     0.003     0.000     0.997     3.000
     1.029     0.068     0.000     0.932     3.000
     1.262     0.229     0.000     0.771     3.000
     0.072     0.000     0.000     1.000     3.000
     0.935     0.040     0.000     0.960     3.000
     2.023     0.965     0.002     0.033     1.000
     1.514     0.577     0.000     0.423     1.000
     0.820     0.020     0.000     0.980     3.000
     0.525     0.003     0.000     0.997     3.000
     0.807     0.019     0.000     0.981     3.000
     1.980     0.956     0.002     0.042     1.000
     1.923     0.940     0.001     0.058     1.000
     1.911     0.936     0.001     0.063     1.000
     2.326     0.988     0.007     0.005     1.000
     0.989     0.054     0.000     0.946     3.000
    -0.328     0.000     0.000     1.000     3.000
    -0.091     0.000     0.000     1.000     3.000
     1.326     0.305     0.000     0.695     3.000
     0.168     0.000     0.000     1.000     3.000
     3.055     0.888     0.112     0.000     1.000
     2.532     0.983     0.015     0.002     1.000
     2.764     0.962     0.037     0.000     1.000
     2.376     0.988     0.008     0.004     1.000
     2.219     0.985     0.004     0.010     1.000
     2.563     0.982     0.017     0.001     1.000
     1.946     0.947     0.001     0.051     1.000
     3.255     0.779     0.221     0.000     1.000
     2.811     0.955     0.045     0.000     1.000
     2.604     0.979     0.020     0.001     1.000
     3.021     0.901     0.099     0.000     1.000
     2.798     0.957     0.043     0.000     1.000
     4.375     0.037     0.963     0.000     2.000
     2.332     0.988     0.007     0.005     1.000
     1.979     0.956     0.002     0.042     1.000
     3.602     0.466     0.534     0.000     2.000
     2.124     0.979     0.003     0.018     1.000
     2.372     0.988     0.008     0.004     1.000
     2.959     0.921     0.079     0.000     1.000
     4.083     0.111     0.889     0.000     2.000
     2.389     0.988     0.008     0.004     1.000
     2.447     0.987     0.011     0.003     1.000
     3.330     0.723     0.277     0.000     1.000
     3.230     0.796     0.204     0.000     1.000
     3.167     0.835     0.165     0.000     1.000
     2.533     0.983     0.015     0.002     1.000
     2.209     0.985     0.004     0.011     1.000
     3.043     0.893     0.107     0.000     1.000
     2.510     0.984     0.014     0.002     1.000
     3.397     0.666     0.334     0.000     1.000
     2.532     0.983     0.015     0.002     1.000
     3.288     0.756     0.244     0.000     1.000
     2.005     0.962     0.002     0.036     1.000
     2.593     0.980     0.019     0.001     1.000
     3.373     0.687     0.313     0.000     1.000
     4.011     0.144     0.856     0.000     2.000
     2.467     0.986     0.012     0.002     1.000
     4.600     0.015     0.985     0.000     2.000
     4.273     0.055     0.945     0.000     2.000
     2.020     0.965     0.002     0.033     1.000
     4.308     0.048     0.952     0.000     2.000
     2.920     0.932     0.068     0.000     1.000
     1.878     0.924     0.001     0.075     1.000
     2.313     0.988     0.006     0.006     1.000
     1.910     0.936     0.001     0.063     1.000
     3.187     0.823     0.177     0.000     1.000
     2.544     0.983     0.016     0.001     1.000
     3.220     0.803     0.197     0.000     1.000
     2.161     0.982     0.003     0.014     1.000
     2.898     0.937     0.063     0.000     1.000
     3.955     0.174     0.826     0.000     2.000
     3.726     0.346     0.654     0.000     2.000
     2.141     0.981     0.003     0.016     1.000
     4.094     0.107     0.893     0.000     2.000
     2.585     0.980     0.019     0.001     1.000
     3.780     0.299     0.701     0.000     2.000
     1.760     0.857     0.001     0.142     1.000
     2.512     0.984     0.014     0.002     1.000
     4.270     0.056     0.944     0.000     2.000
     3.242     0.788     0.212     0.000     1.000
     4.789     0.007     0.993     0.000     2.000
     1.930     0.943     0.001     0.056     1.000
     1.693     0.800     0.000     0.199     1.000
     3.283     0.760     0.240     0.000     1.000
     2.633     0.977     0.022     0.001     1.000
     2.894     0.938     0.062     0.000     1.000
     3.677     0.392     0.608     0.000     2.000
     3.268     0.770     0.230     0.000     1.000
     2.960     0.921     0.079     0.000     1.000
     3.038     0.895     0.105     0.000     1.000
     4.000     0.149     0.851     0.000     2.000
     2.002     0.961     0.002     0.037     1.000
     2.002     0.961     0.002     0.037     1.000
     2.010     0.963     0.002     0.035     1.000
     2.283     0.987     0.006     0.007     1.000
     2.061     0.972     0.002     0.026     1.000
     3.494     0.574     0.426     0.000     1.000
     2.481     0.986     0.012     0.002     1.000
     2.478     0.986     0.012     0.002     1.000
     4.280     0.054     0.946     0.000     2.000
     2.567     0.981     0.017     0.001     1.000
     2.640     0.976     0.023     0.001     1.000
     2.664     0.974     0.025     0.001     1.000
     1.734     0.837     0.001     0.163     1.000
