     0.775     0.110     0.890     0.000     0.000     0.000     2.000
     1.027     0.021     0.976     0.004     0.000     0.000     2.000
     0.724     0.150     0.850     0.000     0.000     0.000     2.000
     1.548     0.000     0.576     0.423     0.000     0.000     2.000
     0.364     0.688     0.312     0.000     0.000     0.000     1.000
     0.195     0.878     0.122     0.000     0.000     0.000     1.000
     0.529     0.410     0.590     0.000     0.000     0.000     2.000
     1.468     0.001     0.752     0.247     0.000     0.000     2.000
     0.208     0.868     0.132     0.000     0.000     0.000     1.000
    -0.043     0.975     0.025     0.000     0.000     0.000     1.000
     2.611     0.000     0.000     0.661     0.339     0.000     3.000
    -0.215     0.992     0.008     0.000     0.000     0.000     1.000
    -0.041     0.974     0.026     0.000     0.000     0.000     1.000
     2.156     0.000     0.003     0.964     0.033     0.000     3.000
     1.101     0.012     0.980     0.008     0.000     0.000     2.000
     0.394     0.640     0.360     0.000     0.000     0.000     1.000
     0.224     0.855     0.145     0.000     0.000     0.000     1.000
     0.033     0.957     0.043     0.000     0.000     0.000     1.000
     0.379     0.665     0.335     0.000     0.000     0.000     1.000
    -0.059     0.977     0.023     0.000     0.000     0.000     1.000
    -0.118     0.985     0.015     0.000     0.000     0.000     1.000
     3.222     0.000     0.000     0.049     0.937     0.014     4.000
     1.744     0.000     0.161     0.836     0.002     0.000     3.000
     0.748     0.130     0.870     0.000     0.000     0.000     2.000
     0.454     0.540     0.460     0.000     0.000     0.000     1.000
    -0.081     0.980     0.020     0.000     0.000     0.000     1.000
     2.202     0.000     0.002     0.955     0.043     0.000     3.000
     0.063     0.948     0.052     0.000     0.000     0.000     1.000
     0.105     0.931     0.069     0.000     0.000     0.000     1.000
     0.334     0.731     0.269     0.000     0.000     0.000     1.000
     1.783     0.000     0.115     0.882     0.003     0.000     3.000
     1.440     0.001     0.800     0.199     0.000     0.000     2.000
    -0.353     0.997     0.003     0.000     0.000     0.000     1.000
    -0.162     0.989     0.011     0.000     0.000     0.000     1.000
     1.225     0.005     0.967     0.028     0.000     0.000     2.000
     0.807     0.090     0.910     0.000     0.000     0.000     2.000
     0.397     0.635     0.365     0.000     0.000     0.000     1.000
     1.021     0.021     0.975     0.004     0.000     0.000     2.000
     0.608     0.285     0.715     0.000     0.000     0.000     2.000
    -0.422     0.998     0.002     0.000     0.000     0.000     1.000
     0.147     0.910     0.090     0.000     0.000     0.000     1.000
     1.349     0.002     0.908     0.090     0.000     0.000     2.000
     0.159     0.902     0.098     0.000     0.000     0.000     1.000
    -0.093     0.982     0.018     0.000     0.000     0.000     1.000
     0.702     0.170     0.830     0.000     0.000     0.000     2.000
     1.119     0.011     0.979     0.010     0.000     0.000     2.000
     1.153     0.008     0.978     0.014     0.000     0.000     2.000
    -0.248     0.994     0.006     0.000     0.000     0.000     1.000
     0.870     0.060     0.940     0.001     0.000     0.000     2.000
     0.843     0.071     0.928     0.001     0.000     0.000     2.000
    -1.129     1.000     0.000     0.000     0.000     0.000     1.000
     0.148     0.909     0.091     0.000     0.000     0.000     1.000
    -0.135     0.987     0.013     0.000     0.000     0.000     1.000
     0.515     0.433     0.567     0.000     0.000     0.000     2.000
     0.492     0.474     0.526     0.000     0.000     0.000     2.000
     0.941     0.037     0.961     0.002     0.000     0.000     2.000
     0.860     0.064     0.936     0.001     0.000     0.000     2.000
    -0.908     1.000     0.000     0.000     0.000     0.000     1.000
     0.139     0.915     0.085     0.000     0.000     0.000     1.000
    -0.508     0.999     0.001     0.000     0.000     0.000     1.000
     1.230     0.005     0.966     0.030     0.000     0.000     2.000
     0.619     0.269     0.731     0.000     0.000     0.000     2.000
    -0.024     0.971     0.029     0.000     0.000     0.000     1.000
     1.462     0.001     0.763     0.236     0.000     0.000     2.000
     1.401     0.001     0.855     0.143     0.000     0.000     2.000
     0.978     0.029     0.969     0.002     0.000     0.000     2.000
     0.224     0.855     0.145     0.000     0.000     0.000     1.000
     0.441     0.562     0.438     0.000     0.000     0.000     1.000
     1.088     0.013     0.979     0.007     0.000     0.000     2.000
    -0.654     1.000     0.000     0.000     0.000     0.000     1.000
